Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
Released,User_119,W_Validate application,Workflow,Workitem_338353106,suspend,2016-01-07 09:49:11.840000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,
Obtained,User_30,W_Validate application,Workflow,Workitem_1522720538,resume,2016-01-07 11:34:12.366000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,
Released,User_30,W_Validate application,Workflow,Workitem_313764426,suspend,2016-01-07 11:34:27.025000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,
Obtained,User_68,W_Validate application,Workflow,Workitem_1377364007,resume,2016-01-07 13:17:02.426000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,
statechange,User_68,A_Denied,Application,ApplState_1181660825,complete,2016-01-07 13:29:49.671000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,
statechange,User_68,O_Refused,Offer,OfferState_1494429296,complete,2016-01-07 13:29:49.710000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,Offer_1669071500
Deleted,User_68,W_Validate application,Workflow,Workitem_72878931,complete,2016-01-07 13:29:49.725000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,
Created,User_1,A_Create Application,Application,Application_428409768,complete,2016-01-01 11:19:38.177000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
statechange,User_1,A_Submitted,Application,ApplState_105207793,complete,2016-01-01 11:19:38.235000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Created,User_1,W_Handle leads,Workflow,Workitem_1185806608,schedule,2016-01-01 11:19:38.914000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Deleted,User_1,W_Handle leads,Workflow,Workitem_835967796,withdraw,2016-01-01 11:20:37.391000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Created,User_1,W_Complete application,Workflow,Workitem_755889823,schedule,2016-01-01 11:20:37.409000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
statechange,User_1,A_Concept,Application,ApplState_1727723699,complete,2016-01-01 11:20:37.422000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Obtained,User_19,W_Complete application,Workflow,Workitem_62767814,start,2016-01-02 10:55:03.169000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
statechange,User_19,A_Accepted,Application,ApplState_504362841,complete,2016-01-02 11:02:44.472000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Created,User_19,O_Create Offer,Offer,Offer_1209840642,complete,2016-01-02 11:05:15.942000+00:00,Home improvement,New credit,Application_428409768,15000.0,15000.0,120.0,True,158.98,False,0.0,15000.0,
statechange,User_19,O_Created,Offer,OfferState_942949889,complete,2016-01-02 11:05:17.204000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_1209840642
statechange,User_19,O_Sent (mail and online),Offer,OfferState_253970058,complete,2016-01-02 11:06:53.268000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_1209840642
Deleted,User_19,W_Complete application,Workflow,Workitem_2003414398,complete,2016-01-02 11:06:53.291000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Created,User_19,W_Call after offers,Workflow,Workitem_1530416988,schedule,2016-01-02 11:06:53.310000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Obtained,User_19,W_Call after offers,Workflow,Workitem_1340137029,start,2016-01-02 11:06:53.312000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
statechange,User_19,A_Complete,Application,ApplState_864110001,complete,2016-01-02 11:06:53.316000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Released,User_19,W_Call after offers,Workflow,Workitem_1717804686,suspend,2016-01-02 11:07:21.200000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Created,User_19,O_Create Offer,Offer,Offer_997411923,complete,2016-01-02 11:25:44.202000+00:00,Home improvement,New credit,Application_428409768,15000.0,15000.0,120.0,True,158.98,True,1059.0,15000.0,
statechange,User_19,O_Created,Offer,OfferState_1967587147,complete,2016-01-02 11:25:45.416000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_997411923
statechange,User_19,O_Cancelled,Offer,OfferState_1893960455,complete,2016-01-02 11:26:06.088000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_1209840642
statechange,User_19,O_Sent (mail and online),Offer,OfferState_600565321,complete,2016-01-02 11:26:19.140000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_997411923
Obtained,User_11,W_Call after offers,Workflow,Workitem_1081743155,resume,2016-01-06 09:24:20.694000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Released,User_11,W_Call after offers,Workflow,Workitem_1371373781,suspend,2016-01-06 09:24:49.245000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Deleted,User_116,W_Call after offers,Workflow,Workitem_1500398862,ate_abort,2016-01-13 08:57:21.302000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Created,User_116,W_Validate application,Workflow,Workitem_426017595,schedule,2016-01-13 08:57:21.325000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Obtained,User_116,W_Validate application,Workflow,Workitem_1121078170,start,2016-01-13 08:57:21.342000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
statechange,User_116,A_Validating,Application,ApplState_145257449,complete,2016-01-13 08:57:22.349000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
statechange,User_116,O_Returned,Offer,OfferState_836197344,complete,2016-01-13 09:08:14.217000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_997411923
Released,User_116,W_Validate application,Workflow,Workitem_1394551701,suspend,2016-01-13 09:14:02.550000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Deleted,User_101,W_Validate application,Workflow,Workitem_2084533572,ate_abort,2016-01-13 12:19:05.156000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Created,User_101,W_Call incomplete files,Workflow,Workitem_1388614442,schedule,2016-01-13 12:19:05.170000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Obtained,User_101,W_Call incomplete files,Workflow,Workitem_1761470628,start,2016-01-13 12:19:05.172000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
statechange,User_101,A_Incomplete,Application,ApplState_572176202,complete,2016-01-13 12:19:05.175000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Released,User_101,W_Call incomplete files,Workflow,Workitem_2100649407,suspend,2016-01-13 12:19:56.608000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Obtained,User_34,W_Call incomplete files,Workflow,Workitem_40552916,resume,2016-01-13 14:02:49.347000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Released,User_34,W_Call incomplete files,Workflow,Workitem_1289398961,suspend,2016-01-13 14:34:27.526000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Obtained,User_34,W_Call incomplete files,Workflow,Workitem_849113076,resume,2016-01-13 14:46:34.388000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Released,User_34,W_Call incomplete files,Workflow,Workitem_368244091,suspend,2016-01-13 14:46:59.441000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Deleted,User_31,W_Call incomplete files,Workflow,Workitem_858139282,ate_abort,2016-01-13 16:01:21.189000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Created,User_31,W_Validate application,Workflow,Workitem_225523018,schedule,2016-01-13 16:01:21.199000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Obtained,User_31,W_Validate application,Workflow,Workitem_394720997,start,2016-01-13 16:01:21.201000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
statechange,User_31,A_Validating,Application,ApplState_1022298,complete,2016-01-13 16:01:21.274000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Released,User_31,W_Validate application,Workflow,Workitem_679096434,suspend,2016-01-13 16:01:56.185000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
statechange,User_90,O_Accepted,Offer,OfferState_892473715,complete,2016-01-14 07:00:14.440000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_997411923
statechange,User_90,A_Pending,Application,ApplState_16917315,complete,2016-01-14 07:00:14.450000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Deleted,User_90,W_Validate application,Workflow,Workitem_5585256,ate_abort,2016-01-14 07:00:14.468000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,
Created,User_1,A_Create Application,Application,Application_1746793196,complete,2016-01-01 12:34:53.911000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
statechange,User_1,A_Submitted,Application,ApplState_282472804,complete,2016-01-01 12:34:53.950000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Created,User_1,W_Handle leads,Workflow,Workitem_1676837235,schedule,2016-01-01 12:34:54.320000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_17,W_Handle leads,Workflow,Workitem_1237205341,start,2016-01-02 09:05:02.658000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Deleted,User_17,W_Handle leads,Workflow,Workitem_548358991,complete,2016-01-02 09:06:04.201000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Created,User_17,W_Complete application,Workflow,Workitem_30082251,schedule,2016-01-02 09:06:04.208000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_17,W_Complete application,Workflow,Workitem_353014927,start,2016-01-02 09:06:04.209000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
statechange,User_17,A_Concept,Application,ApplState_694592100,complete,2016-01-02 09:06:04.213000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_17,W_Complete application,Workflow,Workitem_399410514,suspend,2016-01-02 09:06:08.626000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_17,W_Complete application,Workflow,Workitem_1280215728,resume,2016-01-02 15:49:57.988000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_17,W_Complete application,Workflow,Workitem_829291310,suspend,2016-01-02 15:50:02.286000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_89,W_Complete application,Workflow,Workitem_2119509708,resume,2016-01-04 08:34:54.227000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_89,W_Complete application,Workflow,Workitem_529926898,suspend,2016-01-04 08:35:09.460000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_15,W_Complete application,Workflow,Workitem_1039094891,resume,2016-01-04 08:45:45.118000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_15,W_Complete application,Workflow,Workitem_1806458378,suspend,2016-01-04 08:46:05.403000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_16,W_Complete application,Workflow,Workitem_88124876,resume,2016-01-04 08:46:37.573000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_16,W_Complete application,Workflow,Workitem_302948090,suspend,2016-01-04 08:48:03.216000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_19,W_Complete application,Workflow,Workitem_40446954,resume,2016-01-04 16:55:01.671000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
statechange,User_19,A_Accepted,Application,ApplState_954927792,complete,2016-01-04 17:15:59.130000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Created,User_19,O_Create Offer,Offer,Offer_1319158006,complete,2016-01-04 17:19:15.892000+00:00,Car,New credit,Application_1746793196,5000.0,3726.0,96.0,False,198.65,False,0.0,15700.0,
statechange,User_19,O_Created,Offer,OfferState_133034254,complete,2016-01-04 17:19:17.295000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,Offer_1319158006
statechange,User_19,O_Sent (mail and online),Offer,OfferState_644503319,complete,2016-01-04 17:23:02.522000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,Offer_1319158006
Deleted,User_19,W_Complete application,Workflow,Workitem_1167420013,complete,2016-01-04 17:23:02.547000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Created,User_19,W_Call after offers,Workflow,Workitem_371124433,schedule,2016-01-04 17:23:02.558000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_19,W_Call after offers,Workflow,Workitem_448873828,start,2016-01-04 17:23:02.562000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
statechange,User_19,A_Complete,Application,ApplState_1386029472,complete,2016-01-04 17:23:02.565000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_19,W_Call after offers,Workflow,Workitem_1451652905,suspend,2016-01-04 17:23:36.674000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_15,W_Call after offers,Workflow,Workitem_2046202467,resume,2016-01-08 09:15:54.597000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_15,W_Call after offers,Workflow,Workitem_1882602741,suspend,2016-01-08 09:16:31.351000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Created,User_12,O_Create Offer,Offer,Offer_774210695,complete,2016-01-09 09:48:22.412000+00:00,Car,New credit,Application_1746793196,5000.0,3726.0,72.0,False,252.73,True,834.0,15700.0,
statechange,User_12,O_Created,Offer,OfferState_277936825,complete,2016-01-09 09:48:23.790000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,Offer_774210695
statechange,User_12,O_Sent (mail and online),Offer,OfferState_307874946,complete,2016-01-09 09:48:33.917000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,Offer_774210695
Obtained,User_3,W_Call after offers,Workflow,Workitem_2121169886,resume,2016-01-25 08:53:44.892000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_3,W_Call after offers,Workflow,Workitem_1381149221,suspend,2016-01-25 08:54:09.762000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Deleted,User_119,W_Call after offers,Workflow,Workitem_1426323480,ate_abort,2016-01-25 13:37:28.527000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Created,User_119,W_Validate application,Workflow,Workitem_1203534533,schedule,2016-01-25 13:37:28.556000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_119,W_Validate application,Workflow,Workitem_1131827355,start,2016-01-25 13:37:28.559000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
statechange,User_119,A_Validating,Application,ApplState_1497466516,complete,2016-01-25 13:37:29.552000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
statechange,User_119,O_Returned,Offer,OfferState_229951725,complete,2016-01-25 13:37:59.579000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,Offer_774210695
Released,User_119,W_Validate application,Workflow,Workitem_769670481,suspend,2016-01-25 13:40:58.174000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_68,W_Validate application,Workflow,Workitem_760199218,resume,2016-01-25 14:13:56.207000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_68,W_Validate application,Workflow,Workitem_2086263072,suspend,2016-01-25 14:14:02.906000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_102,W_Validate application,Workflow,Workitem_1238557334,resume,2016-01-25 16:26:05.784000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_102,W_Validate application,Workflow,Workitem_192185933,suspend,2016-01-25 16:27:54.954000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Obtained,User_102,W_Validate application,Workflow,Workitem_2023305999,resume,2016-01-25 16:30:13.400000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
Released,User_102,W_Validate application,Workflow,Workitem_875106545,suspend,2016-01-25 16:31:18.101000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,
